block,trialno,stim1,stim2,matching,mask,duration,nframes,SF,background,staircasenr,rt,acc,contrast
block-1,0,ID02_IM03.bmp,ID05_IM05.bmp,diff,BG01_ID02_IM03_HSF.bmp,150,9,HSF,BG01.bmp,1,1.1180045000000973,0,60.0
block-1,1,ID03_IM04.bmp,ID03_IM03.bmp,same,BG01_ID03_IM04_HSF.bmp,150,9,HSF,BG01.bmp,1,0.13479630000074394,1,60.0
block-1,2,ID04_IM01.bmp,ID03_IM03.bmp,diff,BG01_ID04_IM01_HSF.bmp,150,9,HSF,BG01.bmp,1,0.4562110000006214,0,60.0
block-1,3,ID04_IM03.bmp,ID04_IM04.bmp,same,BG01_ID04_IM03_HSF.bmp,150,9,HSF,BG01.bmp,1,0.23667220000061207,1,60.0
block-1,4,ID01_IM04.bmp,ID01_IM02.bmp,same,BG01_ID01_IM04_HSF.bmp,150,9,HSF,BG01.bmp,1,0.2653656000002229,1,60.0
block-1,5,ID03_IM06.bmp,ID05_IM04.bmp,diff,BG01_ID03_IM06_HSF.bmp,150,9,HSF,BG01.bmp,1,0.22790389999863692,0,60.0
block-1,6,ID01_IM02.bmp,ID03_IM01.bmp,diff,BG02_ID01_IM02_HSF.bmp,150,9,HSF,BG02.bmp,2,0.1799654999995255,0,57.19927985679806
block-1,7,ID05_IM04.bmp,ID05_IM05.bmp,same,BG01_ID05_IM04_HSF.bmp,150,9,HSF,BG01.bmp,1,0.24597300000095856,1,60.0
block-1,8,ID02_IM01.bmp,ID01_IM01.bmp,diff,BG02_ID02_IM01_HSF.bmp,150,9,HSF,BG02.bmp,2,0.4373837999992247,0,60.0
block-1,9,ID04_IM01.bmp,ID04_IM05.bmp,same,BG02_ID04_IM01_HSF.bmp,150,9,HSF,BG02.bmp,2,0.42598999999972875,1,60.0
block-1,10,ID03_IM03.bmp,ID02_IM03.bmp,diff,BG02_ID03_IM03_HSF.bmp,150,9,HSF,BG02.bmp,2,0.19046759999764618,0,60.0
block-1,11,ID03_IM02.bmp,ID03_IM01.bmp,same,BG02_ID03_IM02_HSF.bmp,150,9,HSF,BG02.bmp,2,0.2528902999983984,1,60.0
block-1,12,ID02_IM01.bmp,ID01_IM01.bmp,diff,BG01_ID02_IM01_HSF.bmp,150,9,HSF,BG01.bmp,1,0.18763849999959348,0,60.0
block-1,13,ID03_IM04.bmp,ID03_IM03.bmp,same,BG02_ID03_IM04_HSF.bmp,150,9,HSF,BG02.bmp,2,0.07775949999995646,1,60.0
block-1,14,ID05_IM03.bmp,ID04_IM06.bmp,diff,BG02_ID05_IM03_HSF.bmp,150,9,HSF,BG02.bmp,2,0.1440928999982134,0,60.0
block-1,15,ID04_IM03.bmp,ID04_IM06.bmp,same,BG02_ID04_IM03_HSF.bmp,150,9,HSF,BG02.bmp,2,0.4805030999996234,1,60.0
block-1,0,ID02_IM03.bmp,ID05_IM05.bmp,diff,BG01_ID02_IM03_HSF.bmp,150,9,HSF,BG01.bmp,1,0.3899462000008498,0,60.0
block-1,1,ID03_IM04.bmp,ID03_IM03.bmp,same,BG01_ID03_IM04_HSF.bmp,150,9,HSF,BG01.bmp,1,0.20628279999800725,1,60.0
block-1,2,ID04_IM01.bmp,ID03_IM03.bmp,diff,BG01_ID04_IM01_HSF.bmp,150,9,HSF,BG01.bmp,1,0.268046699999104,0,60.0
block-1,3,ID04_IM03.bmp,ID04_IM04.bmp,same,BG01_ID04_IM03_HSF.bmp,150,9,HSF,BG01.bmp,1,0.21543609999935143,1,60.0
block-1,4,ID01_IM04.bmp,ID01_IM02.bmp,same,BG01_ID01_IM04_HSF.bmp,150,9,HSF,BG01.bmp,1,0.40406240000083926,1,60.0
block-1,5,ID03_IM06.bmp,ID05_IM04.bmp,diff,BG01_ID03_IM06_HSF.bmp,150,9,HSF,BG01.bmp,1,0.2186412000010023,0,60.0
block-1,6,ID01_IM02.bmp,ID03_IM01.bmp,diff,BG02_ID01_IM02_HSF.bmp,150,9,HSF,BG02.bmp,2,0.5226260999988881,0,60.0
block-1,7,ID05_IM04.bmp,ID05_IM05.bmp,same,BG01_ID05_IM04_HSF.bmp,150,9,HSF,BG01.bmp,1,0.2869823000000906,1,60.0
block-1,8,ID02_IM01.bmp,ID01_IM01.bmp,diff,BG02_ID02_IM01_HSF.bmp,150,9,HSF,BG02.bmp,2,0.2844465999987733,0,60.0
block-1,9,ID04_IM01.bmp,ID04_IM05.bmp,same,BG02_ID04_IM01_HSF.bmp,150,9,HSF,BG02.bmp,2,0.2481221000016376,1,60.0
block-1,10,ID03_IM03.bmp,ID02_IM03.bmp,diff,BG02_ID03_IM03_HSF.bmp,150,9,HSF,BG02.bmp,2,0.17938499999945634,0,60.0
block-1,11,ID03_IM02.bmp,ID03_IM01.bmp,same,BG02_ID03_IM02_HSF.bmp,150,9,HSF,BG02.bmp,2,0.33975809999901685,1,60.0
block-1,12,ID02_IM01.bmp,ID01_IM01.bmp,diff,BG01_ID02_IM01_HSF.bmp,150,9,HSF,BG01.bmp,1,0.11074709999957122,0,60.0
block-1,13,ID03_IM04.bmp,ID03_IM03.bmp,same,BG02_ID03_IM04_HSF.bmp,150,9,HSF,BG02.bmp,2,1.0595977999983006,1,60.0
block-1,14,ID05_IM03.bmp,ID04_IM06.bmp,diff,BG02_ID05_IM03_HSF.bmp,150,9,HSF,BG02.bmp,2,0.04733520000081626,0,60.0
block-1,15,ID04_IM03.bmp,ID04_IM06.bmp,same,BG02_ID04_IM03_HSF.bmp,150,9,HSF,BG02.bmp,2,0.5948381000016525,1,60.0
block-1,0,ID02_IM03.bmp,ID05_IM05.bmp,diff,BG01_ID02_IM03_HSF.bmp,150,9,HSF,BG01.bmp,1,0.1482185999993817,0,60.0
block-1,1,ID03_IM04.bmp,ID03_IM03.bmp,same,BG01_ID03_IM04_HSF.bmp,150,9,HSF,BG01.bmp,1,0.6598511999982293,1,60.0
block-1,2,ID04_IM01.bmp,ID03_IM03.bmp,diff,BG01_ID04_IM01_HSF.bmp,150,9,HSF,BG01.bmp,1,0.4002111000008881,0,60.0
block-1,3,ID04_IM03.bmp,ID04_IM04.bmp,same,BG01_ID04_IM03_HSF.bmp,150,9,HSF,BG01.bmp,1,0.3743252999993274,1,60.0
block-1,4,ID01_IM04.bmp,ID01_IM02.bmp,same,BG01_ID01_IM04_HSF.bmp,150,9,HSF,BG01.bmp,1,0.41340759999729926,1,60.0
block-1,5,ID03_IM06.bmp,ID05_IM04.bmp,diff,BG01_ID03_IM06_HSF.bmp,150,9,HSF,BG01.bmp,1,0.0029767000014544465,0,60.0
block-1,6,ID01_IM02.bmp,ID03_IM01.bmp,diff,BG02_ID01_IM02_HSF.bmp,150,9,HSF,BG02.bmp,2,0.07557040000028792,0,60.0
block-1,7,ID05_IM04.bmp,ID05_IM05.bmp,same,BG01_ID05_IM04_HSF.bmp,150,9,HSF,BG01.bmp,1,0.6409208999975817,1,60.0
block-1,8,ID02_IM01.bmp,ID01_IM01.bmp,diff,BG02_ID02_IM01_HSF.bmp,150,9,HSF,BG02.bmp,2,0.4163735000001907,0,60.0
block-1,9,ID04_IM01.bmp,ID04_IM05.bmp,same,BG02_ID04_IM01_HSF.bmp,150,9,HSF,BG02.bmp,2,0.32580509999752394,1,60.0
block-1,10,ID03_IM03.bmp,ID02_IM03.bmp,diff,BG02_ID03_IM03_HSF.bmp,150,9,HSF,BG02.bmp,2,0.2235021999986202,0,60.0
block-1,11,ID03_IM02.bmp,ID03_IM01.bmp,same,BG02_ID03_IM02_HSF.bmp,150,9,HSF,BG02.bmp,2,0.060967399997025495,1,60.0
block-1,12,ID02_IM01.bmp,ID01_IM01.bmp,diff,BG01_ID02_IM01_HSF.bmp,150,9,HSF,BG01.bmp,1,0.21176369999739109,0,60.0
block-1,13,ID03_IM04.bmp,ID03_IM03.bmp,same,BG02_ID03_IM04_HSF.bmp,150,9,HSF,BG02.bmp,2,0.4044359000035911,1,60.0
block-1,14,ID05_IM03.bmp,ID04_IM06.bmp,diff,BG02_ID05_IM03_HSF.bmp,150,9,HSF,BG02.bmp,2,0.09054330000071786,0,60.0
block-1,15,ID04_IM03.bmp,ID04_IM06.bmp,same,BG02_ID04_IM03_HSF.bmp,150,9,HSF,BG02.bmp,2,0.22197349999987637,1,60.0
block-1,0,ID02_IM03.bmp,ID05_IM05.bmp,diff,BG01_ID02_IM03_HSF.bmp,150,9,HSF,BG01.bmp,1,0.38247210000190535,0,60.0
block-1,1,ID03_IM04.bmp,ID03_IM03.bmp,same,BG01_ID03_IM04_HSF.bmp,150,9,HSF,BG01.bmp,1,0.11808770000061486,1,60.0
block-1,2,ID04_IM01.bmp,ID03_IM03.bmp,diff,BG01_ID04_IM01_HSF.bmp,150,9,HSF,BG01.bmp,1,0.35952330000145594,0,60.0
block-1,3,ID04_IM03.bmp,ID04_IM04.bmp,same,BG01_ID04_IM03_HSF.bmp,150,9,HSF,BG01.bmp,1,0.20768859999952838,1,60.0
block-1,4,ID01_IM04.bmp,ID01_IM02.bmp,same,BG01_ID01_IM04_HSF.bmp,150,9,HSF,BG01.bmp,1,0.284984899997653,1,60.0
block-1,5,ID03_IM06.bmp,ID05_IM04.bmp,diff,BG01_ID03_IM06_HSF.bmp,150,9,HSF,BG01.bmp,1,0.007616099999722792,0,60.0
block-1,6,ID01_IM02.bmp,ID03_IM01.bmp,diff,BG02_ID01_IM02_HSF.bmp,150,9,HSF,BG02.bmp,2,0.20811420000245562,0,60.0
block-1,7,ID05_IM04.bmp,ID05_IM05.bmp,same,BG01_ID05_IM04_HSF.bmp,150,9,HSF,BG01.bmp,1,0.06530919999931939,1,60.0
block-1,8,ID02_IM01.bmp,ID01_IM01.bmp,diff,BG02_ID02_IM01_HSF.bmp,150,9,HSF,BG02.bmp,2,0.24770530000023427,0,60.0
block-1,9,ID04_IM01.bmp,ID04_IM05.bmp,same,BG02_ID04_IM01_HSF.bmp,150,9,HSF,BG02.bmp,2,0.19583309999870835,1,60.0
block-1,10,ID03_IM03.bmp,ID02_IM03.bmp,diff,BG02_ID03_IM03_HSF.bmp,150,9,HSF,BG02.bmp,2,0.5789906999998493,0,60.0
block-1,11,ID03_IM02.bmp,ID03_IM01.bmp,same,BG02_ID03_IM02_HSF.bmp,150,9,HSF,BG02.bmp,2,0.03409730000203126,1,60.0
block-1,12,ID02_IM01.bmp,ID01_IM01.bmp,diff,BG01_ID02_IM01_HSF.bmp,150,9,HSF,BG01.bmp,1,0.08961769999950775,0,60.0
block-1,13,ID03_IM04.bmp,ID03_IM03.bmp,same,BG02_ID03_IM04_HSF.bmp,150,9,HSF,BG02.bmp,2,0.4792507999991358,1,60.0
block-1,14,ID05_IM03.bmp,ID04_IM06.bmp,diff,BG02_ID05_IM03_HSF.bmp,150,9,HSF,BG02.bmp,2,0.14626639999914914,0,60.0
block-1,15,ID04_IM03.bmp,ID04_IM06.bmp,same,BG02_ID04_IM03_HSF.bmp,150,9,HSF,BG02.bmp,2,0.3878866000013659,1,60.0
block-1,0,ID02_IM03.bmp,ID05_IM05.bmp,diff,BG01_ID02_IM03_HSF.bmp,150,9,HSF,BG01.bmp,1,0.26918640000076266,0,60.0
block-1,1,ID03_IM04.bmp,ID03_IM03.bmp,same,BG01_ID03_IM04_HSF.bmp,150,9,HSF,BG01.bmp,1,0.32924569999886444,1,60.0
block-1,2,ID04_IM01.bmp,ID03_IM03.bmp,diff,BG01_ID04_IM01_HSF.bmp,150,9,HSF,BG01.bmp,1,0.25799199999892153,0,60.0
block-1,3,ID04_IM03.bmp,ID04_IM04.bmp,same,BG01_ID04_IM03_HSF.bmp,150,9,HSF,BG01.bmp,1,0.12468540000190842,1,60.0
block-1,4,ID01_IM04.bmp,ID01_IM02.bmp,same,BG01_ID01_IM04_HSF.bmp,150,9,HSF,BG01.bmp,1,0.3503000999990036,1,60.0
block-1,5,ID03_IM06.bmp,ID05_IM04.bmp,diff,BG01_ID03_IM06_HSF.bmp,150,9,HSF,BG01.bmp,1,0.2939769000004162,0,60.0
block-1,6,ID01_IM02.bmp,ID03_IM01.bmp,diff,BG02_ID01_IM02_HSF.bmp,150,9,HSF,BG02.bmp,2,0.13152599999739323,0,60.0
block-1,7,ID05_IM04.bmp,ID05_IM05.bmp,same,BG01_ID05_IM04_HSF.bmp,150,9,HSF,BG01.bmp,1,0.19941190000099596,1,60.0
block-1,8,ID02_IM01.bmp,ID01_IM01.bmp,diff,BG02_ID02_IM01_HSF.bmp,150,9,HSF,BG02.bmp,2,0.0086327999997593,0,60.0
block-1,9,ID04_IM01.bmp,ID04_IM05.bmp,same,BG02_ID04_IM01_HSF.bmp,150,9,HSF,BG02.bmp,2,0.12678170000071987,1,60.0
block-1,10,ID03_IM03.bmp,ID02_IM03.bmp,diff,BG02_ID03_IM03_HSF.bmp,150,9,HSF,BG02.bmp,2,0.08016909999787458,0,60.0
block-1,11,ID03_IM02.bmp,ID03_IM01.bmp,same,BG02_ID03_IM02_HSF.bmp,150,9,HSF,BG02.bmp,2,0.3868135999982769,1,60.0
block-1,12,ID02_IM01.bmp,ID01_IM01.bmp,diff,BG01_ID02_IM01_HSF.bmp,150,9,HSF,BG01.bmp,1,0.1409395000009681,0,60.0
block-1,13,ID03_IM04.bmp,ID03_IM03.bmp,same,BG02_ID03_IM04_HSF.bmp,150,9,HSF,BG02.bmp,2,0.32016199999998207,1,60.0
block-1,14,ID05_IM03.bmp,ID04_IM06.bmp,diff,BG02_ID05_IM03_HSF.bmp,150,9,HSF,BG02.bmp,2,0.1838619000009203,0,60.0
block-1,15,ID04_IM03.bmp,ID04_IM06.bmp,same,BG02_ID04_IM03_HSF.bmp,150,9,HSF,BG02.bmp,2,0.16734989999895333,1,60.0
block-1,0,ID02_IM03.bmp,ID05_IM05.bmp,diff,BG01_ID02_IM03_HSF.bmp,150,9,HSF,BG01.bmp,1,0.1382207999995444,0,60.0
block-1,1,ID03_IM04.bmp,ID03_IM03.bmp,same,BG01_ID03_IM04_HSF.bmp,150,9,HSF,BG01.bmp,1,0.18727189999844995,1,60.0
block-1,2,ID04_IM01.bmp,ID03_IM03.bmp,diff,BG01_ID04_IM01_HSF.bmp,150,9,HSF,BG01.bmp,1,0.10568839999905322,0,60.0
block-1,3,ID04_IM03.bmp,ID04_IM04.bmp,same,BG01_ID04_IM03_HSF.bmp,150,9,HSF,BG01.bmp,1,0.42582929999844055,1,60.0
block-1,4,ID01_IM04.bmp,ID01_IM02.bmp,same,BG01_ID01_IM04_HSF.bmp,150,9,HSF,BG01.bmp,1,0.031191199999739183,1,60.0
block-1,5,ID03_IM06.bmp,ID05_IM04.bmp,diff,BG01_ID03_IM06_HSF.bmp,150,9,HSF,BG01.bmp,1,0.18055829999866546,0,60.0
block-1,6,ID01_IM02.bmp,ID03_IM01.bmp,diff,BG02_ID01_IM02_HSF.bmp,150,9,HSF,BG02.bmp,2,0.15019719999691006,0,60.0
block-1,7,ID05_IM04.bmp,ID05_IM05.bmp,same,BG01_ID05_IM04_HSF.bmp,150,9,HSF,BG01.bmp,1,0.21771950000038487,1,60.0
block-1,8,ID02_IM01.bmp,ID01_IM01.bmp,diff,BG02_ID02_IM01_HSF.bmp,150,9,HSF,BG02.bmp,2,0.18668830000024172,0,60.0
block-1,9,ID04_IM01.bmp,ID04_IM05.bmp,same,BG02_ID04_IM01_HSF.bmp,150,9,HSF,BG02.bmp,2,0.33031259999916074,1,60.0
block-1,10,ID03_IM03.bmp,ID02_IM03.bmp,diff,BG02_ID03_IM03_HSF.bmp,150,9,HSF,BG02.bmp,2,0.27508039999884204,0,60.0
block-1,11,ID03_IM02.bmp,ID03_IM01.bmp,same,BG02_ID03_IM02_HSF.bmp,150,9,HSF,BG02.bmp,2,0.2065805000020191,1,60.0
block-1,12,ID02_IM01.bmp,ID01_IM01.bmp,diff,BG01_ID02_IM01_HSF.bmp,150,9,HSF,BG01.bmp,1,0.27096769999843673,0,60.0
block-1,13,ID03_IM04.bmp,ID03_IM03.bmp,same,BG02_ID03_IM04_HSF.bmp,150,9,HSF,BG02.bmp,2,0.2051516999999876,1,60.0
block-1,14,ID05_IM03.bmp,ID04_IM06.bmp,diff,BG02_ID05_IM03_HSF.bmp,150,9,HSF,BG02.bmp,2,0.12354540000160341,0,60.0
block-1,15,ID04_IM03.bmp,ID04_IM06.bmp,same,BG02_ID04_IM03_HSF.bmp,150,9,HSF,BG02.bmp,2,0.12435539999933098,1,60.0
